Année;Code INSEE région;Région;Production nucléaire (GWh);Production thermique (GWh);Production hydraulique (GWh);Production éolienne (GWh);Production solaire (GWh);Production bioénergies (GWh)
2008;76;Occitanie;17650.0;932.0;11956.0;1103.0;7.0;424.0
2008;94;Corse;;861.0;500.0;34.0;0.2;
2009;52;Pays de la Loire;;6355.0;16.0;400.0;18.8;164.0
2011;52;Pays de la Loire;;7009.0;11.3;703.6;187.5;200.0
2014;84;Auvergne-Rhône-Alpes;87866.0;1073.0;28206.0;764.0;632.0;819.0
2015;11;Île-de-France;;2384.0;55.0;53.0;72.0;1034.0
2015;32;Hauts-de-France;37478.0;5318.0;13.0;4966.0;126.0;889.0
2018;53;Bretagne;;829.0;575.0;1804.0;225.0;374.0
2022;27;Bourgogne-Franche-Comté;;620.0;756.0;2017.0;705.0;443.0
2023;93;Provence-Alpes-Côte d'Azur;;4748.0;8422.0;192.0;3153.0;986.0
2018;44;Grand Est;80562.0;8643.0;7336.0;6326.0;676.0;839.0
2023;52;Pays de la Loire;;1560.0;26.0;4279.0;1273.0;494.0
2009;75;Nouvelle-Aquitaine;41100.0;1603.0;3413.0;152.0;12.7;569.0
2009;32;Hauts-de-France;37105.0;10447.0;5.0;1569.0;3.7;430.0
2009;44;Grand Est;72866.0;9412.0;8578.0;1330.0;9.8;319.0
2009;53;Bretagne;;368.0;551.0;730.0;7.2;118.0
2011;84;Auvergne-Rhône-Alpes;85083.3;2923.2;21496.9;606.4;244.3;394.0
2012;27;Bourgogne-Franche-Comté;;1385.0;1052.0;271.0;102.2;131.0
2010;94;Corse;;893.0;581.0;27.0;2.2;9.0
2014;75;Nouvelle-Aquitaine;42538.0;430.0;4766.0;820.0;1171.0;985.0
2018;28;Normandie;60399.0;3397.0;128.0;1518.0;150.0;448.0
2018;75;Nouvelle-Aquitaine;45775.0;870.0;4495.0;1735.0;2967.0;1506.0
2020;75;Nouvelle-Aquitaine;38215.0;852.0;4203.0;2410.0;3477.0;1610.0
2021;11;Île-de-France;;1938.0;65.0;274.0;154.0;1274.0
2022;53;Bretagne;;3783.0;592.0;2034.0;421.0;459.0
2022;75;Nouvelle-Aquitaine;21874.0;1026.0;3108.0;2917.0;4810.0;1550.0
